"Ignitions","Month","Year"
21,12,2012
39,1,2013
14,2,2013
7,3,2013
6,4,2013
8,5,2013
6,6,2013
2,7,2013
2,8,2013
6,9,2013
3,10,2013
17,11,2013
7,12,2013
21,1,2014
11,2,2014
2,3,2014
2,4,2014
4,5,2014
4,6,2014
2,7,2014
4,8,2014
3,9,2014
5,10,2014
8,11,2014
8,12,2014
3,1,2015
5,2,2015
6,3,2015
6,4,2015
4,5,2015
4,6,2015
3,7,2015
3,8,2015
6,9,2015
9,10,2015
4,11,2015
12,12,2015
4,1,2016
4,2,2016
10,3,2016
10,4,2016
4,5,2016
0,6,2016
0,7,2016
5,8,2016
0,9,2016
1,10,2016
4,11,2016
6,12,2016
18,1,2017
22,2,2017
12,3,2017
1,4,2017
2,5,2017
3,6,2017
1,7,2017
2,8,2017
10,9,2017
6,10,2017
4,11,2017
5,12,2017
9,1,2018
13,2,2018
10,3,2018
6,4,2018
6,5,2018
2,6,2018
7,7,2018
7,8,2018
5,9,2018
4,10,2018
7,11,2018
7,12,2018
10,1,2019
11,2,2019
3,3,2019
1,4,2019
2,5,2019
1,6,2019
6,7,2019
11,8,2019
7,9,2019
9,10,2019
14,11,2019
18,12,2019
14,1,2020
3,2,2020
3,3,2020
0,4,2020
1,5,2020
2,6,2020
1,7,2020
2,8,2020
6,9,2020
2,10,2020
5,11,2020
9,12,2020
8,1,2021
7,2,2021
7,3,2021
6,4,2021
2,5,2021
2,6,2021
0,7,2021
