"x";"y";"Month";"MR";"MT";"MV"
148,7;-35;"01";NA;NA;NA
148,7;-35;"02";NA;NA;NA
148,7;-35;"03";NA;NA;NA
148,7;-35;"04";NA;NA;NA
148,7;-35;"05";NA;NA;NA
148,7;-35;"06";NA;NA;NA
148,7;-35;"07";NA;NA;NA
148,7;-35;"08";NA;NA;NA
148,7;-35;"09";NA;NA;NA
148,7;-35;"10";NA;NA;NA
148,7;-35;"11";NA;NA;NA
148,7;-35;"12";NA;NA;NA
148,75;-35;"01";NA;NA;NA
148,75;-35;"02";NA;NA;NA
148,75;-35;"03";NA;NA;NA
148,75;-35;"04";NA;NA;NA
148,75;-35;"05";NA;NA;NA
148,75;-35;"06";NA;NA;NA
148,75;-35;"07";NA;NA;NA
148,75;-35;"08";NA;NA;NA
148,75;-35;"09";NA;NA;NA
148,75;-35;"10";NA;NA;NA
148,75;-35;"11";NA;NA;NA
148,75;-35;"12";NA;NA;NA
148,8;-35;"01";NA;NA;NA
148,8;-35;"02";NA;NA;NA
148,8;-35;"03";NA;NA;NA
148,8;-35;"04";NA;NA;NA
148,8;-35;"05";NA;NA;NA
148,8;-35;"06";NA;NA;NA
148,8;-35;"07";NA;NA;NA
148,8;-35;"08";NA;NA;NA
148,8;-35;"09";NA;NA;NA
148,8;-35;"10";NA;NA;NA
148,8;-35;"11";NA;NA;NA
148,8;-35;"12";NA;NA;NA
148,85;-35;"01";NA;NA;NA
148,85;-35;"02";NA;NA;NA
148,85;-35;"03";NA;NA;NA
148,85;-35;"04";NA;NA;NA
148,85;-35;"05";NA;NA;NA
148,85;-35;"06";NA;NA;NA
148,85;-35;"07";NA;NA;NA
148,85;-35;"08";NA;NA;NA
148,85;-35;"09";NA;NA;NA
148,85;-35;"10";NA;NA;NA
148,85;-35;"11";NA;NA;NA
148,85;-35;"12";NA;NA;NA
148,9;-35;"01";NA;NA;NA
148,9;-35;"02";NA;NA;NA
148,9;-35;"03";NA;NA;NA
148,9;-35;"04";NA;NA;NA
148,9;-35;"05";NA;NA;NA
148,9;-35;"06";NA;NA;NA
148,9;-35;"07";NA;NA;NA
148,9;-35;"08";NA;NA;NA
148,9;-35;"09";NA;NA;NA
148,9;-35;"10";NA;NA;NA
148,9;-35;"11";NA;NA;NA
148,9;-35;"12";NA;NA;NA
148,95;-35;"01";NA;NA;NA
148,95;-35;"02";NA;NA;NA
148,95;-35;"03";NA;NA;NA
148,95;-35;"04";NA;NA;NA
148,95;-35;"05";NA;NA;NA
148,95;-35;"06";NA;NA;NA
148,95;-35;"07";NA;NA;NA
148,95;-35;"08";NA;NA;NA
148,95;-35;"09";NA;NA;NA
148,95;-35;"10";NA;NA;NA
148,95;-35;"11";NA;NA;NA
148,95;-35;"12";NA;NA;NA
149;-35;"01";NA;NA;NA
149;-35;"02";NA;NA;NA
149;-35;"03";NA;NA;NA
149;-35;"04";NA;NA;NA
149;-35;"05";NA;NA;NA
149;-35;"06";NA;NA;NA
149;-35;"07";NA;NA;NA
149;-35;"08";NA;NA;NA
149;-35;"09";NA;NA;NA
149;-35;"10";NA;NA;NA
149;-35;"11";NA;NA;NA
149;-35;"12";NA;NA;NA
149,05;-35;"01";NA;NA;NA
149,05;-35;"02";NA;NA;NA
149,05;-35;"03";NA;NA;NA
149,05;-35;"04";NA;NA;NA
149,05;-35;"05";NA;NA;NA
149,05;-35;"06";NA;NA;NA
149,05;-35;"07";NA;NA;NA
149,05;-35;"08";NA;NA;NA
149,05;-35;"09";NA;NA;NA
149,05;-35;"10";NA;NA;NA
149,05;-35;"11";NA;NA;NA
149,05;-35;"12";NA;NA;NA
149,1;-35;"01";NA;NA;NA
149,1;-35;"02";NA;NA;NA
149,1;-35;"03";NA;NA;NA
149,1;-35;"04";NA;NA;NA
149,1;-35;"05";NA;NA;NA
149,1;-35;"06";NA;NA;NA
149,1;-35;"07";NA;NA;NA
149,1;-35;"08";NA;NA;NA
149,1;-35;"09";NA;NA;NA
149,1;-35;"10";NA;NA;NA
149,1;-35;"11";NA;NA;NA
149,1;-35;"12";NA;NA;NA
149,15;-35;"01";NA;NA;NA
149,15;-35;"02";NA;NA;NA
149,15;-35;"03";NA;NA;NA
149,15;-35;"04";NA;NA;NA
149,15;-35;"05";NA;NA;NA
149,15;-35;"06";NA;NA;NA
149,15;-35;"07";NA;NA;NA
149,15;-35;"08";NA;NA;NA
149,15;-35;"09";NA;NA;NA
149,15;-35;"10";NA;NA;NA
149,15;-35;"11";NA;NA;NA
149,15;-35;"12";NA;NA;NA
149,2;-35;"01";NA;NA;NA
149,2;-35;"02";NA;NA;NA
149,2;-35;"03";NA;NA;NA
149,2;-35;"04";NA;NA;NA
149,2;-35;"05";NA;NA;NA
149,2;-35;"06";NA;NA;NA
149,2;-35;"07";NA;NA;NA
149,2;-35;"08";NA;NA;NA
149,2;-35;"09";NA;NA;NA
149,2;-35;"10";NA;NA;NA
149,2;-35;"11";NA;NA;NA
149,2;-35;"12";NA;NA;NA
149,25;-35;"01";NA;NA;NA
149,25;-35;"02";NA;NA;NA
149,25;-35;"03";NA;NA;NA
149,25;-35;"04";NA;NA;NA
149,25;-35;"05";NA;NA;NA
149,25;-35;"06";NA;NA;NA
149,25;-35;"07";NA;NA;NA
149,25;-35;"08";NA;NA;NA
149,25;-35;"09";NA;NA;NA
149,25;-35;"10";NA;NA;NA
149,25;-35;"11";NA;NA;NA
149,25;-35;"12";NA;NA;NA
149,3;-35;"01";NA;NA;NA
149,3;-35;"02";NA;NA;NA
149,3;-35;"03";NA;NA;NA
149,3;-35;"04";NA;NA;NA
149,3;-35;"05";NA;NA;NA
149,3;-35;"06";NA;NA;NA
